CN 2022,SupText,URI,Name
02021000,Frozen bovine carcases and half-carcases,020210000080,0202 10 00 - Carcases and half-carcases
020220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",020220000080,0202 20 - Other cuts with bone in
02022010,"Frozen ""compensated"" bovine quarters, with bone in",020220100080,0202 20 10 -- ‘Compensated’ quarters
02022030,"Frozen unseparated or separated bovine forequarters, with bone in",020220300080,0202 20 30 -- Unseparated or separated forequarters
02022050,"Frozen unseparated or separated bovine hindquarters, with bone in",020220500080,0202 20 50 -- Unseparated or separated hindquarters
02022090,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)",020220900080,0202 20 90 -- Other
020230,"Frozen, boneless meat of bovine animals",020230000080,0202 30 - Boneless
02023010,"Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece",020230100080,"0202 30 10 -- Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ‘compensated’ quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece"
02023050,"Frozen bovine boneless crop, chuck and blade and brisket cuts",020230500080,"0202 30 50 -- Crop, chuck-and-blade and brisket cuts"
02023090,"Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)",020230900080,0202 30 90 -- Other
0203,"Meat of swine, fresh, chilled or frozen",020300000080,"0203 Meat of swine, fresh, chilled or frozen"
020311,Fresh or chilled carcases and half-carcases of swine,020311000080,0203 11 -- Carcases and half-carcases
02031110,Fresh or chilled domestic swine carcases and half-carcases,020311100080,0203 11 10 --- Of domestic swine
02031190,Fresh or chilled non-domestic swine carcases and half-carcases,020311900080,0203 11 90 --- Other
020312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",020312000080,"0203 12 -- Hams, shoulders and cuts thereof, with bone in"
02031211,"Fresh or chilled with bone in, domestic swine hams and cuts thereof",020312110080,0203 12 11 ---- Hams and cuts thereof
02031219,"Fresh or chilled with bone in, domestic swine shoulders and cuts thereof",020312190080,0203 12 19 ---- Shoulders and cuts thereof
02031290,"Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine",020312900080,0203 12 90 --- Other
020319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",020319000080,0203 19 -- Other
02031911,Fresh or chilled fore-ends and cuts thereof of domestic swine,020319110080,0203 19 11 ---- Fore-ends and cuts thereof
02031913,Fresh or chilled loins and cuts thereof of domestic swine,020319130080,"0203 19 13 ---- Loins and cuts thereof, with bone in"
02031915,"Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine",020319150080,0203 19 15 ---- Bellies (streaky) and cuts thereof
02031955,Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof),020319550080,0203 19 55 ----- Boneless
