CN 2021,BEC Rev. 4,START,END
02109292,122,01/01/2012,31/12/2500
02109299,122,01/01/2012,31/12/2500
02109300,122,01/01/2002,31/12/2500
02109910,122,01/01/2002,31/12/2500
02109921,122,01/01/2002,31/12/2500
02109929,122,01/01/2002,31/12/2500
02109931,122,01/01/2002,31/12/2500
02109939,122,01/01/2012,31/12/2500
02109941,122,01/01/2002,31/12/2500
02109949,122,01/01/2002,31/12/2500
02109951,122,01/01/2002,31/12/2500
02109959,122,01/01/2002,31/12/2500
02109960,122,01/01/2002,31/12/2011
02109971,122,01/01/2002,31/12/2500
02109979,122,01/01/2002,31/12/2500
02109980,122,01/01/2002,31/12/2011
02109985,122,01/01/2012,31/12/2500
02109990,122,01/01/2012,31/12/2500
03011010,112,01/01/1988,31/12/2011
03011090,112,01/01/1988,31/12/2011
03011100,112,01/01/2012,31/12/2500
03011900,112,01/01/2012,31/12/2500
03019100,112,01/01/1988,31/12/1995
03019110,112,01/01/1996,31/12/2500
03019190,112,01/01/1996,31/12/2500
03019200,112,01/01/1988,31/12/2011
03019210,112,01/01/2012,31/12/2500
03019230,112,01/01/2012,31/12/2500
03019290,112,01/01/2012,31/12/2500
03019300,112,01/01/2017,31/12/2500
03019400,112,01/01/2007,31/12/2011
03019410,112,01/01/2012,31/12/2500
03019490,112,01/01/2012,31/12/2500
03019500,112,01/01/2007,31/12/2500
03019911,112,01/01/1988,31/12/2500
03019917,112,01/01/2017,31/12/2500
03019918,112,01/01/2012,31/12/2016
03019919,112,01/01/1996,31/12/2011
03019980,112,01/01/2007,31/12/2011
03019985,112,01/01/2012,31/12/2500
03019990,112,01/01/1988,31/12/2006
03021100,112,01/01/1988,31/12/1995
03021110,112,01/01/1996,31/12/2500
03021120,112,01/01/2003,31/12/2500
03021180,112,01/01/2003,31/12/2500
03021190,112,01/01/1996,31/12/2002
03021200,112,01/01/1988,31/12/2011
03021300,112,01/01/2012,31/12/2500
03021400,112,01/01/2012,31/12/2500
03021900,112,01/01/1996,31/12/2500
03022110,112,01/01/1988,31/12/2500
03022130,112,01/01/1988,31/12/2500
03022190,112,01/01/1988,31/12/2500
03022200,112,01/01/1988,31/12/2500
03022300,112,01/01/1988,31/12/2500
03022400,112,01/01/2012,31/12/2500
03022900,112,01/01/1988,31/12/1989
03022910,112,01/01/1990,31/12/2500
03022980,112,01/01/2012,31/12/2500
03022990,112,01/01/1990,31/12/2011
03023110,112,01/01/1988,31/12/2500
03023190,112,01/01/1988,31/12/2500
03023210,112,01/01/1988,31/12/2500
03023290,112,01/01/1988,31/12/2500
03023310,112,01/01/1988,31/12/2500
03023390,112,01/01/1988,31/12/2500
03023410,112,01/01/2002,31/12/2500
03023490,112,01/01/2002,31/12/2500
03023510,112,01/01/2002,31/12/2011
03023511,112,01/01/2012,31/12/2500
03023519,112,01/01/2012,31/12/2500
03023590,112,01/01/2002,31/12/2011
03023591,112,01/01/2012,31/12/2500
03023599,112,01/01/2012,31/12/2500
03023610,112,01/01/2002,31/12/2500
03023690,112,01/01/2002,31/12/2500
03023910,112,01/01/2002,31/12/2011
03023911,112,01/01/1994,31/12/2001
03023919,112,01/01/1994,31/12/2001
03023920,112,01/01/2012,31/12/2500
03023980,112,01/01/2012,31/12/2500
03023990,112,01/01/2002,31/12/2011
03023991,112,01/01/1994,31/12/2001
03023999,112,01/01/1994,31/12/2001
03024000,112,01/01/2000,31/12/2011
03024005,112,01/01/1996,31/12/1999
03024010,112,01/01/1988,31/12/1999
03024090,112,01/01/1988,31/12/1995
03024098,112,01/01/1996,31/12/1999
03024100,112,01/01/2012,31/12/2500
03024200,112,01/01/2012,31/12/2500
03024310,112,01/01/2012,31/12/2500
03024330,112,01/01/2012,31/12/2500
03024390,112,01/01/2012,31/12/2500
03024400,112,01/01/2012,31/12/2500
03024510,112,01/01/2012,31/12/2500
03024530,112,01/01/2012,31/12/2500
03024590,112,01/01/2012,31/12/2500
03024600,112,01/01/2012,31/12/2500
03024700,112,01/01/2012,31/12/2500
03024911,112,01/01/2017,31/12/2500
03024919,112,01/01/2017,31/12/2500
03024990,112,01/01/2017,31/12/2500
03025010,112,01/01/1988,31/12/2011
03025090,112,01/01/1988,31/12/2011
03025110,112,01/01/2012,31/12/2500
03025190,112,01/01/2012,31/12/2500
03025200,112,01/01/2012,31/12/2500
03025300,112,01/01/2012,31/12/2500
03025411,112,01/01/2012,31/12/2500
03025415,112,01/01/2012,31/12/2500
03025419,112,01/01/2012,31/12/2500
03025490,112,01/01/2012,31/12/2500
03025500,112,01/01/2012,31/12/2500
03025600,112,01/01/2012,31/12/2500
03025910,112,01/01/2012,31/12/2500
03025920,112,01/01/2012,31/12/2500
03025930,112,01/01/2012,31/12/2500
03025940,112,01/01/2012,31/12/2500
03025990,112,01/01/2012,31/12/2500
03026110,112,01/01/1988,31/12/2011
03026130,112,01/01/1988,31/12/2011
03026180,112,01/01/2000,31/12/2011
03026190,112,01/01/1996,31/12/1999
03026191,112,01/01/1988,31/12/1999
03026198,112,01/01/1996,31/12/1999
03026199,112,01/01/1988,31/12/1995
03026200,112,01/01/1988,31/12/2011
03026300,112,01/01/1988,31/12/2011
03026400,112,01/01/2000,31/12/2011
03026405,112,01/01/1996,31/12/1999
03026410,112,01/01/1988,31/12/1999
03026490,112,01/01/1988,31/12/1995
03026498,112,01/01/1996,31/12/1999
03026510,112,01/01/1988,31/12/1989
03026520,112,01/01/1990,31/12/2011
03026550,112,01/01/1990,31/12/2011
03026560,112,01/01/2010,31/12/2011
03026590,112,01/01/1988,31/12/2009
03026595,112,01/01/2010,31/12/2011
03026600,112,01/01/1988,31/12/2011
03026700,112,01/01/2007,31/12/2011
03026800,112,01/01/2007,31/12/2011
03026911,112,01/01/1988,31/12/2011
03026915,112,01/01/2010,31/12/2011
03026918,112,01/01/2010,31/12/2011
03026919,112,01/01/1988,31/12/2009
03026921,112,01/01/1988,31/12/2011
