"NACE Rev. 2 Code","Level","Superior"
"A",1,NA
"B",1,NA
"C",1,NA
"D",1,NA
"E",1,NA
"F",1,NA
"G",1,NA
"H",1,NA
"I",1,NA
"J",1,NA
"K",1,NA
"L",1,NA
"M",1,NA
"N",1,NA
"O",1,NA
"P",1,NA
"Q",1,NA
"R",1,NA
"S",1,NA
"T",1,NA
"U",1,NA
"42.91",4,"42.9"
"42.99",4,"42.9"
"43.11",4,"43.1"
"43.12",4,"43.1"
"43.13",4,"43.1"
"43.21",4,"43.2"
"43.22",4,"43.2"
"43.29",4,"43.2"
"43.31",4,"43.3"
"43.32",4,"43.3"
"43.33",4,"43.3"
"43.34",4,"43.3"
"43.39",4,"43.3"
"43.91",4,"43.9"
"43.99",4,"43.9"
"45.11",4,"45.1"
"45.19",4,"45.1"
"45.20",4,"45.2"
"45.31",4,"45.3"
"45.32",4,"45.3"
"45.40",4,"45.4"
"46.11",4,"46.1"
"46.12",4,"46.1"
"46.13",4,"46.1"
"46.14",4,"46.1"
"46.15",4,"46.1"
"46.16",4,"46.1"
"46.17",4,"46.1"
"46.18",4,"46.1"
"46.19",4,"46.1"
"46.21",4,"46.2"
"46.22",4,"46.2"
"46.23",4,"46.2"
"46.24",4,"46.2"
"46.31",4,"46.3"
"46.32",4,"46.3"
"46.33",4,"46.3"
"46.34",4,"46.3"
"46.35",4,"46.3"
"46.36",4,"46.3"
"46.37",4,"46.3"
"46.38",4,"46.3"
"46.39",4,"46.3"
"46.41",4,"46.4"
"46.42",4,"46.4"
"46.43",4,"46.4"
"46.44",4,"46.4"
"46.45",4,"46.4"
"46.46",4,"46.4"
"46.47",4,"46.4"
"46.48",4,"46.4"
"46.49",4,"46.4"
"46.51",4,"46.5"
"46.52",4,"46.5"
"46.61",4,"46.6"
"46.62",4,"46.6"
"46.63",4,"46.6"
"46.64",4,"46.6"
"46.65",4,"46.6"
"46.66",4,"46.6"
"46.69",4,"46.6"
"46.71",4,"46.7"
"46.72",4,"46.7"
"46.73",4,"46.7"
"46.74",4,"46.7"
"46.75",4,"46.7"
"46.76",4,"46.7"
"46.77",4,"46.7"
"46.90",4,"46.9"
"47.11",4,"47.1"
"47.19",4,"47.1"
"47.21",4,"47.2"
"47.22",4,"47.2"
"47.23",4,"47.2"
"47.24",4,"47.2"
"47.25",4,"47.2"
"47.26",4,"47.2"
"47.29",4,"47.2"
"47.30",4,"47.3"
"47.41",4,"47.4"
"47.42",4,"47.4"
"47.43",4,"47.4"
"47.51",4,"47.5"
"47.52",4,"47.5"
"47.53",4,"47.5"
"47.54",4,"47.5"
"47.59",4,"47.5"
"47.61",4,"47.6"
"47.62",4,"47.6"
"47.63",4,"47.6"
"47.64",4,"47.6"
"47.65",4,"47.6"
"47.71",4,"47.7"
"47.72",4,"47.7"
"47.73",4,"47.7"
"47.74",4,"47.7"
"47.75",4,"47.7"
"47.76",4,"47.7"
"47.77",4,"47.7"
"47.78",4,"47.7"
"47.79",4,"47.7"
"47.81",4,"47.8"
"47.82",4,"47.8"
"47.89",4,"47.8"
"47.91",4,"47.9"
"47.99",4,"47.9"
"49.10",4,"49.1"
"49.20",4,"49.2"
