CN 2021,CN 2022,CNKEY,TYPE,CN2021_Deleted codes,CN2021_Reused Code
03072290,03072290,030722900080,,,
03072900,03072910,030729000080,-,0307 29 00,
03073110,03073110,030731100080,,,
03073190,03073190,030731900080,,,
03073210,03073210,030732100080,,,
03073290,03073290,030732900080,,,
03073920,03073920,030739200080,,,
03073980,03073980,030739800080,,,
03074210,03074210,030742100080,,,
03074220,03074220,030742200080,,,
03074230,03074230,030742300080,,,
03074240,03074240,030742400080,,,
03074290,03074290,030742900080,,,
03074321,03074321,030743210080,,,
03074325,03074325,030743250080,,,
03074329,03074329,030743290080,,,
03074331,03074331,030743310080,,,
03074333,03074333,030743330080,,,
03074335,03074335,030743350080,,,
03074338,03074338,030743380080,,,
03074391,03074391,030743910080,,,
03074392,03074392,030743920080,,,
03074395,03074395,030743950080,,,
03074399,03074399,030743990080,,,
03074920,03074920,030749200080,,,
03074940,03074940,030749400080,,,
03074950,03074950,030749500080,,,
03074960,03074960,030749600080,,,
03074980,03074980,030749800080,,,
03075100,03075100,030751000080,,,
03075200,03075200,030752000080,,,
03075900,03075900,030759000080,,,
03076000,03076000,030760000080,,,
03077100,03077100,030771000080,,,
03077210,03077210,030772100080,,,
03077290,03077290,030772900080,,,
03077900,03077900,030779000080,,,
03078100,03078100,030781000080,,,
03078200,03078200,030782000080,,,
03078300,03078300,030783000080,,,
03078400,03078400,030784000080,,,
03078700,03078700,030787000080,,,
03078800,03078800,030788000080,,,
03079100,03099000,030791000080,ex,,0307 91 00
03079100,03079100,030791000080,-,,0307 91 00
03079100,03072190,030791000080,-,,0307 91 00
03079200,03079200,030792000080,-,,0307 92 00
03079200,03099000,030792000080,ex,,0307 92 00
03079200,03072295,030792000080,-,,0307 92 00
03079900,03072990,030799000080,-,,0307 99 00
03079900,03079900,030799000080,-,,0307 99 00
03079900,03099000,030799000080,ex,,0307 99 00
03081100,03081100,030811000080,,,
03081200,03081200,030812000080,,,
03081900,03081900,030819000080,,,
03082100,03082100,030821000080,,,
03082200,03082200,030822000080,,,
03082900,03082900,030829000080,,,
03083050,03083050,030830500080,,,
03083080,03083080,030830800080,,,
03089010,03089010,030890100080,,,
03089050,03089050,030890500080,,,
03089090,03099000,030890900080,ex,,0308 90 90
03089090,03089090,030890900080,-,,0308 90 90
04011010,04011010,040110100080,,,
04011090,04011090,040110900080,,,
04012011,04012011,040120110080,,,
04012019,04012019,040120190080,,,
04012091,04012091,040120910080,,,
04012099,04012099,040120990080,,,
04014010,04014010,040140100080,,,
04014090,04014090,040140900080,,,
04015011,04015011,040150110080,,,
04015019,04015019,040150190080,,,
04015031,04015031,040150310080,,,
04015039,04015039,040150390080,,,
04015091,04015091,040150910080,,,
04015099,04015099,040150990080,,,
04021011,04021011,040210110080,,,
04021019,04021019,040210190080,,,
04021091,04021091,040210910080,,,
04021099,04021099,040210990080,,,
04022111,04022111,040221110080,,,
04022118,04022118,040221180080,,,
04022191,04022191,040221910080,,,
04022199,04022199,040221990080,,,
04022911,04022911,040229110080,,,
04022915,04022915,040229150080,,,
04022919,04022919,040229190080,,,
04022991,04022991,040229910080,,,
04022999,04022999,040229990080,,,
04029110,04029110,040291100080,,,
04029130,04029130,040291300080,,,
04029151,04029151,040291510080,,,
04029159,04029159,040291590080,,,
04029191,04029191,040291910080,,,
04029199,04029199,040291990080,,,
04029910,04029910,040299100080,,,
04029931,04029931,040299310080,,,
04029939,04029939,040299390080,,,
04029991,04029991,040299910080,,,
04029999,04029999,040299990080,,,
04031011,04032011,040310110080,-,0403 10 11,
04031013,04032013,040310130080,-,0403 10 13,
04031019,04032019,040310190080,-,0403 10 19,
04031031,04032031,040310310080,-,0403 10 31,
04031033,04032033,040310330080,-,0403 10 33,
04031039,04032039,040310390080,-,0403 10 39,
04031051,04032051,040310510080,-,0403 10 51,
04031053,04032053,040310530080,-,0403 10 53,
04031059,04032059,040310590080,-,0403 10 59,
04031091,04032091,040310910080,-,0403 10 91,
04031093,04032093,040310930080,-,0403 10 93,
04031099,04032099,040310990080,-,0403 10 99,
04039011,04039011,040390110080,,,
04039013,04039013,040390130080,,,
04039019,04039019,040390190080,,,
04039031,04039031,040390310080,,,
04039033,04039033,040390330080,,,
04039039,04039039,040390390080,,,
04039051,04039051,040390510080,,,
04039053,04039053,040390530080,,,
04039059,04039059,040390590080,,,
04039061,04039061,040390610080,,,
04039063,04039063,040390630080,,,
04039069,04039069,040390690080,,,
04039071,04039071,040390710080,,,
04039073,04039073,040390730080,,,
04039079,04039079,040390790080,,,
04039091,04039091,040390910080,,,
04039093,04039093,040390930080,,,
04039099,04039099,040390990080,,,
04041002,04041002,040410020080,,,
